acousticness,bb_index,billboard_artist,billboard_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.0626,77.0,luke bryan,that's my kind of night,0.66,190187.0,0.754,5HGibWoxnkYSkl6mHmAlOE,0.0,4.0,0.1,-2.84,0.0,69.0,2013-01-01,0.051,Crash My Party,Luke Bryan,That's My Kind Of Night,110.02,4.0,audio_features,spotify:track:5HGibWoxnkYSkl6mHmAlOE,0.899
0.00627,78.0,kendrick lamar,swimming pools (drank),0.577,247800.0,0.447,6REbwUNlppTfcnV4d4ZoZi,0.00022,8.0,0.0899,-5.892,1.0,69.0,2012-01-01,0.277,Swimming Pools (Drank),Kendrick Lamar,Swimming Pools (Drank),74.236,4.0,audio_features,spotify:track:6REbwUNlppTfcnV4d4ZoZi,0.189
0.255,79.0,blake shelton,sure be cool if you did,0.576,215720.0,0.726,5yIiXdLRE85OBiQmCaUenq,0.0,11.0,0.108,-4.625,1.0,57.0,2013-03-26,0.035,Based on a True Story... (Deluxe Edition),Blake Shelton,Sure Be Cool If You Did,136.802,4.0,audio_features,spotify:track:5yIiXdLRE85OBiQmCaUenq,0.582
0.346,80.0,mariah carey,#beautiful,0.677,199867.0,0.749,617KSbx52ACbnQBxSsG26X,0.0,4.0,0.347,-5.405,1.0,54.0,2014-05-27,0.0391,Me. I Am Mariah…The Elusive Chanteuse (Deluxe),Mariah Carey,#Beautiful,107.042,4.0,audio_features,spotify:track:617KSbx52ACbnQBxSsG26X,0.469
0.02,81.0,olly murs,troublemaker,0.761,185200.0,0.856,0gRczqVHrEQQDyizJUtgRc,0.0,0.0,0.149,-3.65,0.0,60.0,2011,0.0731,Right Place Right Time (Deluxe),Olly Murs,Troublemaker (feat. Flo Rida),106.009,4.0,audio_features,spotify:track:0gRczqVHrEQQDyizJUtgRc,0.967
0.0143,82.0,ciara,body party,0.577,234040.0,0.576,0rFZaQ4crlGAzuCjWCQ2xu,0.0,2.0,0.602,-6.299,1.0,63.0,2013-07-05,0.0563,Ciara,Ciara,Body Party,133.973,4.0,audio_features,spotify:track:0rFZaQ4crlGAzuCjWCQ2xu,0.12
0.0543,83.0,miguel,adorn,0.625,193147.0,0.576,25cUhiAod71TIQSNicOaW3,4.07e-05,11.0,0.187,-5.693,0.0,63.0,2012-09-28,0.175,Kaleidoscope Dream,Miguel,Adorn,179.063,4.0,audio_features,spotify:track:25cUhiAod71TIQSNicOaW3,0.235
0.0653,84.0,the script,hall of fame,0.421,202533.0,0.873,1X1DWw2pcNZ8zSub3uhlNz,0.0,10.0,0.123,-4.343,1.0,71.0,2012-09-10,0.0565,#3,The Script,Hall of Fame,84.803,4.0,audio_features,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,0.63
0.25,85.0,ne-yo,let me love you (until you learn to love yourself),0.664,251627.0,0.661,4kte3OcW800TPvOVgrLLj8,0.0,5.0,0.511,-6.559,1.0,64.0,2012-01-01,0.0337,R.E.D. (Deluxe Edition),Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),124.917,4.0,audio_features,spotify:track:4kte3OcW800TPvOVgrLLj8,0.269
0.422,86.0,rocko,u.o.e.n.o.,0.422,260276.0,0.641,0HFrCOmhCYXlv4NdEwRAuj,0.0,10.0,0.317,-4.947,0.0,55.0,2013-03-05,0.323,Gift Of Gab 2 (Deluxe Edition),Rocko,"U.O.E.N.O. (feat. Rick Ross, Future)",187.027,3.0,audio_features,spotify:track:0HFrCOmhCYXlv4NdEwRAuj,0.654
0.0923,87.0,emeli sandé,next to me,0.674,196867.0,0.81,1Xsxp1SEOxuMzjrFZhtw8u,4.74e-05,7.0,0.11,-5.117,0.0,55.0,2012-01-01,0.0378,Our Version Of Events,Emeli Sandé,Next To Me,94.995,4.0,audio_features,spotify:track:1Xsxp1SEOxuMzjrFZhtw8u,0.391
